                                          AUGUST 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Tu 08 09:09:41 18AQ31 16PI53 04PI21 17CP26 26PI55 28AR56 10TA57 16AQ54 04AQ36 12SG31 03LE03 
We 09 09:13:38 19AQ32 29PI50 05PI55 18CP40 27PI40 29AR05 11TA00 16AQ57 04AQ38 12SG33 03LE00 
Th 10 09:17:35 20AQ33 13AR00 07PI25 19CP53 28PI26 29AR14 11TA03 17AQ01 04AQ40 12SG34 02LE57 
Fr 11 09:21:31 21AQ33 26AR24 08PI51 21CP07 29PI12 29AR23 11TA06 17AQ04 04AQ43 12SG35 02LE54 
Sa 12 09:25:28 22AQ34 10TA03 10PI13 22CP21 29PI58 29AR32 11TA10 17AQ08 04AQ45 12SG36 02LE51 
Su 13 09:29:24 23AQ35 23TA55 11PI29 23CP35 00AR44 29AR42 11TA13 17AQ11 04AQ47 12SG37 02LE47 
Mo 14 09:33:21 24AQ36 08GE01 12PI40 24CP49 01AR29 29AR51 11TA16 17AQ15 04AQ49 12SG38 02LE44 
Tu 15 09:37:17 25AQ36 22GE19 13PI44 26CP03 02AR15 00TA01 11TA20 17AQ18 04AQ51 12SG39 02LE41 
We 16 09:41:14 26AQ37 06CN47 14PI40 27CP17 03AR01 00TA11 11TA24 17AQ22 04AQ53 12SG40 02LE38 
Th 17 09:45:10 27AQ37 21CN22 15PI28 28CP31 03AR46 00TA21 11TA27 17AQ25 04AQ56 12SG41 02LE35 
Fr 18 09:49:07 28AQ38 05LE57 16PI08 29CP45 04AR32 00TA31 11TA31 17AQ28 04AQ58 12SG42 02LE31 
Sa 19 09:53:04 29AQ38 20LE28 16PI38 00AQ59 05AR17 00TA41 11TA35 17AQ32 04AQ60 12SG43 02LE28 
Su 20 09:57:00 00PI39 04VI49 16PI59 02AQ13 06AR03 00TA51 11TA39 17AQ35 05AQ02 12SG44 02LE25 
Mo 21 10:00:57 01PI39 18VI53 17PI09 03AQ28 06AR48 01TA02 11TA43 17AQ39 05AQ04 12SG45 02LE22 
Tu 22 10:04:53 02PI40 02LI37 17PI10 04AQ42 07AR34 01TA12 11TA48 17AQ42 05AQ06 12SG45 02LE19 
We 23 10:08:50 03PI40 15LI59 16PI60 05AQ56 08AR19 01TA23 11TA52 17AQ46 05AQ08 12SG46 02LE16 
Th 24 10:12:46 04PI41 28LI57 16PI40 07AQ10 09AR05 01TA34 11TA56 17AQ49 05AQ10 12SG47 02LE12 
Fr 25 10:16:43 05PI41 11SC33 16PI11 08AQ24 09AR50 01TA45 12TA01 17AQ52 05AQ12 12SG48 02LE09 
Sa 26 10:20:39 06PI41 23SC51 15PI34 09AQ38 10AR35 01TA55 12TA05 17AQ56 05AQ14 12SG48 02LE06 
Su 27 10:24:36 07PI42 05SG55 14PI49 10AQ52 11AR20 02TA07 12TA10 17AQ59 05AQ16 12SG49 02LE03 
Mo 28 10:28:33 08PI42 17SG48 13PI57 12AQ06 12AR06 02TA18 12TA15 18AQ02 05AQ18 12SG49 01LE60 
Tu 29 10:32:29 09PI42 29SG37 13PI00 13AQ20 12AR51 02TA29 12TA19 18AQ06 05AQ20 12SG50 01LE57 
                                          MARCH 2000
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
We 01 10:36:26 10PI42 11CP27 11PI60 14AQ34 13AR36 02TA40 12TA24 18AQ09 05AQ22 12SG50 01LE53 
Th 02 10:40:22 11PI43 23CP21 10PI57 15AQ49 14AR21 02TA52 12TA29 18AQ12 05AQ24 12SG51 01LE50 
Fr 03 10:44:19 12PI43 05AQ26 09PI54 17AQ03 15AR06 03TA03 12TA34 18AQ15 05AQ26 12SG51 01LE47 
Sa 04 10:48:15 13PI43 17AQ43 08PI52 18AQ17 15AR51 03TA15 12TA40 18AQ19 05AQ28 12SG52 01LE44 
Su 05 10:52:12 14PI43 00PI15 07PI53 19AQ31 16AR36 03TA27 12TA45 18AQ22 05AQ30 12SG52 01LE41 
Mo 06 10:56:08 15PI43 13PI04 06PI56 20AQ45 17AR21 03TA38 12TA50 18AQ25 05AQ32 12SG53 01LE37 
Tu 07 11:00:05 16PI43 26PI10 06PI04 21AQ59 18AR06 03TA50 12TA55 18AQ28 05AQ34 12SG53 01LE34 
We 08 11:04:02 17PI43 09AR32 05PI18 23AQ13 18AR50 04TA02 13TA01 18AQ31 05AQ35 12SG53 01LE31 
Th 09 11:07:58 18PI43 23AR07 04PI37 24AQ28 19AR35 04TA14 13TA06 18AQ35 05AQ37 12SG53 01LE28 
Fr 10 11:11:55 19PI43 06TA53 04PI02 25AQ42 20AR20 04TA27 13TA12 18AQ38 05AQ39 12SG54 01LE25 
Sa 11 11:15:51 20PI43 20TA48 03PI34 26AQ56 21AR05 04TA39 13TA17 18AQ41 05AQ41 12SG54 01LE22 
Su 12 11:19:48 21PI43 04GE49 03PI12 28AQ10 21AR49 04TA51 13TA23 18AQ44 05AQ42 12SG54 01LE18 
Mo 13 11:23:44 22PI43 18GE54 02PI57 29AQ24 22AR34 05TA03 13TA29 18AQ47 05AQ44 12SG54 01LE15 
Tu 14 11:27:41 23PI43 03CN01 02PI49 00PI38 23AR18 05TA16 13TA35 18AQ50 05AQ46 12SG54 01LE12 
We 15 11:31:37 24PI43 17CN11 02PI47 01PI52 24AR03 05TA28 13TA41 18AQ53 05AQ47 12SG54 01LE09 
Th 16 11:35:34 25PI42 01LE20 02PI51 03PI06 24AR47 05TA41 13TA47 18AQ56 05AQ49 12SG54 01LE06 
Fr 17 11:39:31 26PI42 15LE28 03PI00 04PI21 25AR32 05TA54 13TA53 18AQ59 05AQ51 12SG54 01LE02 
Sa 18 11:43:27 27PI42 29LE31 03PI15 05PI35 26AR16 06TA06 13TA59 19AQ02 05AQ52 12SG54 00LE59 
Su 19 11:47:24 28PI41 13VI27 03PI36 06PI49 27AR01 06TA19 14TA05 19AQ05 05AQ54 12SG54 00LE56 
Mo 20 11:51:20 29PI41 27VI11 04PI01 08PI03 27AR45 06TA32 14TA11 19AQ08 05AQ55 12SG54 00LE53 
Tu 21 11:55:17 00AR41 10LI41 04PI31 09PI17 28AR29 06TA45 14TA17 19AQ10 05AQ57 12SG54 00LE50 
We 22 11:59:13 01AR40 23LI53 05PI05 10PI31 29AR13 06TA58 14TA24 19AQ13 05AQ58 12SG53 00LE47 
Th 23 12:03:10 02AR40 06SC47 05PI44 11PI45 29AR57 07TA11 14TA30 19AQ16 05AQ60 12SG53 00LE43 
Fr 24 12:07:06 03AR39 19SC22 06PI26 12PI59 00TA41 07TA24 14TA37 19AQ19 06AQ01 12SG53 00LE40 
Sa 25 12:11:03 04AR39 01SG40 07PI12 14PI13 01TA25 07TA37 14TA43 19AQ21 06AQ03 12SG53 00LE37 
Su 26 12:14:60 05AR38 13SG44 08PI02 15PI28 02TA09 07TA50 14TA50 19AQ24 06AQ04 12SG52 00LE34 
Mo 27 12:18:56 06AR37 25SG38 08PI55 16PI42 02TA53 08TA03 14TA56 19AQ27 06AQ05 12SG52 00LE31 
Tu 28 12:22:53 07AR37 07CP27 09PI50 17PI56 03TA37 08TA17 15TA03 19AQ29 06AQ07 12SG51 00LE28 
We 29 12:26:49 08AR36 19CP17 10PI49 19PI10 04TA21 08TA30 15TA10 19AQ32 06AQ08 12SG51 00LE24 
Th 30 12:30:46 09AR35 01AQ12 11PI50 20PI24 05TA05 08TA44 15TA16 19AQ34 06AQ09 12SG51 00LE21 
Fr 31 12:34:42 10AR35 13AQ19 12PI54 21PI38 05TA49 08TA57 15TA23 19AQ37 06AQ11 12SG50 00LE18 
                                          APRIL 2000 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Sa 01 12:38:39 11AR34 25AQ41 14PI01 22PI52 06TA32 09TA11 15TA30 19AQ39 06AQ12 12SG50 00LE15 
Su 02 12:42:35 12AR33 08PI23 15PI10 24PI06 07TA16 09TA24 15TA37 19AQ42 06AQ13 12SG49 00LE12 
Mo 03 12:46:32 13AR32 21PI26 16PI21 25PI20 07TA60 09TA38 15TA44 19AQ44 06AQ14 12SG48 00LE08 
Tu 04 12:50:29 14AR32 04AR52 17PI34 26PI34 08TA43 09TA51 15TA51 19AQ47 06AQ15 12SG48 00LE05 
We 05 12:54:25 15AR31 18AR37 18PI49 27PI48 09TA27 10TA05 15TA58 19AQ49 06AQ16 12SG47 00LE02 
Th 06 12:58:22 16AR30 02TA39 20PI06 29PI02 10TA10 10TA19 16TA05 19AQ51 06AQ17 12SG46 29CN59 
Fr 07 13:02:18 17AR29 16TA52 21PI26 00AR17 10TA54 10TA32 16TA12 19AQ53 06AQ18 12SG46 29CN56 
Sa 08 13:06:15 18AR28 01GE12 22PI47 01AR31 11TA37 10TA46 16TA19 19AQ56 06AQ19 12SG45 29CN53 
Su 09 13:10:11 19AR27 15GE33 24PI10 02AR45 12TA20 10TA60 16TA26 19AQ58 06AQ20 12SG44 29CN49 
Mo 10 13:14:08 20AR26 29GE50 25PI34 03AR59 13TA04 11TA14 16TA33 19AQ60 06AQ21 12SG43 29CN46 
Tu 11 13:18:04 21AR25 14CN01 27PI01 05AR13 13TA47 11TA28 16TA41 20AQ02 06AQ22 12SG43 29CN43 
We 12 13:22:01 22AR23 28CN05 28PI29 06AR27 14TA30 11TA42 16TA48 20AQ04 06AQ23 12SG42 29CN40 
Th 13 13:25:58 23AR22 12LE01 29PI59 07AR41 15TA13 11TA56 16TA55 20AQ06 06AQ24 12SG41 29CN37 
Fr 14 13:29:54 24AR21 25LE49 01AR30 08AR55 15TA56 12TA10 17TA02 20AQ08 06AQ25 12SG40 29CN33 
Sa 15 13:33:51 25AR20 09VI28 03AR04 10AR09 16TA39 12TA24 17TA10 20AQ10 06AQ26 12SG39 29CN30 
Su 16 13:37:47 26AR19 22VI58 04AR38 11AR23 17TA22 12TA38 17TA17 20AQ12 06AQ26 12SG38 29CN27 
Mo 17 13:41:44 27AR17 06LI18 06AR15 12AR37 18TA05 12TA52 17TA25 20AQ14 06AQ27 12SG37 29CN24 
Tu 18 13:45:40 28AR16 19LI26 07AR53 13AR50 18TA48 13TA06 17TA32 20AQ16 06AQ28 12SG36 29CN21 
We 19 13:49:37 29AR14 02SC21 09AR33 15AR04 19TA31 13TA20 17TA40 20AQ17 06AQ28 12SG35 29CN18 
Th 20 13:53:33 00TA13 15SC01 11AR14 16AR18 20TA14 13TA34 17TA47 20AQ19 06AQ29 12SG34 29CN14 
Fr 21 13:57:30 01TA12 27SC27 12AR57 17AR32 20TA57 13TA48 17TA55 20AQ21 06AQ30 12SG33 29CN11 
Sa 22 14:01:27 02TA10 09SG39 14AR42 18AR46 21TA39 14TA02 18TA02 20AQ22 06AQ30 12SG32 29CN08 
Su 23 14:05:23 03TA09 21SG40 16AR29 20AR00 22TA22 14TA16 18TA10 20AQ24 06AQ31 12SG31 29CN05 
Mo 24 14:09:20 04TA07 03CP33 18AR17 21AR14 23TA05 14TA31 18TA17 20AQ25 06AQ31 12SG29 29CN02 
Tu 25 14:13:16 05TA05 15CP21 20AR06 22AR28 23TA47 14TA45 18TA25 20AQ27 06AQ32 12SG28 28CN59 
We 26 14:17:13 06TA04 27CP10 21AR58 23AR42 24TA30 14TA59 18TA32 20AQ28 06AQ32 12SG27 28CN55 
Th 27 14:21:09 07TA02 09AQ05 23AR51 24AR56 25TA12 15TA13 18TA40 20AQ30 06AQ32 12SG26 28CN52 
Fr 28 14:25:06 08TA01 21AQ12 25AR46 26AR10 25TA55 15TA27 18TA48 20AQ31 06AQ33 12SG25 28CN49 
Sa 29 14:29:02 08TA59 03PI35 27AR42 27AR24 26TA37 15TA42 18TA55 20AQ32 06AQ33 12SG23 28CN46 
Su 30 14:32:59 09TA57 16PI20 29AR41 28AR37 27TA19 15TA56 19TA03 20AQ34 06AQ33 12SG22 28CN43
 
                                           MAY 2000
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Mo 01 14:36:56 10TA55 29PI29 01TA40 29AR51 28TA02 16TA10 19TA11 20AQ35 06AQ34 12SG21 28CN39 
Tu 02 14:40:52 11TA54 13AR04 03TA42 01TA05 28TA44 16TA24 19TA18 20AQ36 06AQ34 12SG19 28CN36 
We 03 14:44:49 12TA52 27AR05 05TA45 02TA19 29TA26 16TA39 19TA26 20AQ37 06AQ34 12SG18 28CN33 
Th 04 14:48:45 13TA50 11TA27 07TA49 03TA33 00GE08 16TA53 19TA34 20AQ38 06AQ34 12SG17 28CN30 
Fr 05 14:52:42 14TA48 26TA04 09TA55 04TA47 00GE50 17TA07 19TA41 20AQ39 06AQ34 12SG15 28CN27 
Sa 06 14:56:38 15TA46 10GE49 12TA02 06TA01 01GE32 17TA22 19TA49 20AQ40 06AQ35 12SG14 28CN24 
Su 07 15:00:35 16TA44 25GE34 14TA10 07TA14 02GE14 17TA36 19TA57 20AQ41 06AQ35 12SG12 28CN20 
Mo 08 15:04:31 17TA43 10CN12 16TA19 08TA28 02GE56 17TA50 20TA05 20AQ42 06AQ35 12SG11 28CN17 
Tu 09 15:08:28 18TA41 24CN38 18TA29 09TA42 03GE38 18TA04 20TA12 20AQ43 06AQ35 12SG10 28CN14 
We 10 15:12:25 19TA39 08LE49 20TA39 10TA56 04GE20 18TA19 20TA20 20AQ44 06AQ35 12SG08 28CN11 
Th 11 15:16:21 20TA37 22LE44 22TA50 12TA10 05GE02 18TA33 20TA28 20AQ44 06AQ35 12SG07 28CN08 
Fr 12 15:20:18 21TA35 06VI24 25TA01 13TA23 05GE44 18TA47 20TA35 20AQ45 06AQ34 12SG05 28CN05 
Sa 13 15:24:14 22TA32 19VI49 27TA11 14TA37 06GE25 19TA02 20TA43 20AQ46 06AQ34 12SG04 28CN01 
Su 14 15:28:11 23TA30 03LI01 29TA21 15TA51 07GE07 19TA16 20TA51 20AQ46 06AQ34 12SG02 27CN58 
Mo 15 15:32:07 24TA28 16LI00 01GE30 17TA05 07GE49 19TA30 20TA59 20AQ47 06AQ34 12SG01 27CN55 
Tu 16 15:36:04 25TA26 28LI47 03GE38 18TA19 08GE30 19TA44 21TA06 20AQ47 06AQ34 11SG59 27CN52 
We 17 15:40:00 26TA24 11SC23 05GE45 19TA32 09GE12 19TA58 21TA14 20AQ48 06AQ33 11SG58 27CN49 
Th 18 15:43:57 27TA22 23SC47 07GE50 20TA46 09GE53 20TA13 21TA22 20AQ48 06AQ33 11SG56 27CN45 
Fr 19 15:47:54 28TA19 06SG00 09GE53 21TA60 10GE35 20TA27 21TA29 20AQ48 06AQ33 11SG54 27CN42 
Sa 20 15:51:50 29TA17 18SG04 11GE54 23TA14 11GE16 20TA41 21TA37 20AQ49 06AQ32 11SG53 27CN39 
Su 21 15:55:47 00GE15 29SG59 13GE53 24TA27 11GE58 20TA55 21TA45 20AQ49 06AQ32 11SG51 27CN36 
Mo 22 15:59:43 01GE12 11CP49 15GE50 25TA41 12GE39 21TA09 21TA52 20AQ49 06AQ32 11SG50 27CN33 
Tu 23 16:03:40 02GE10 23CP36 17GE44 26TA55 13GE20 21TA24 22TA00 20AQ49 06AQ31 11SG48 27CN30 
We 24 16:07:36 03GE08 05AQ25 19GE35 28TA09 14GE02 21TA38 22TA08 20AQ49 06AQ31 11SG47 27CN26 
Th 25 16:11:33 04GE05 17AQ19 21GE24 29TA22 14GE43 21TA52 22TA15 20AQ49 06AQ30 11SG45 27CN23 
Fr 26 16:15:29 05GE03 29AQ25 23GE09 00GE36 15GE24 22TA06 22TA23 20AQ49 06AQ30 11SG43 27CN20 
Sa 27 16:19:26 06GE01 11PI47 24GE52 01GE50 16GE05 22TA20 22TA31 20AQ49 06AQ29 11SG42 27CN17 
Su 28 16:23:23 06GE58 24PI30 26GE32 03GE04 16GE46 22TA34 22TA38 20AQ49 06AQ29 11SG40 27CN14 
Mo 29 16:27:19 07GE56 07AR38 28GE09 04GE17 17GE27 22TA48 22TA46 20AQ49 06AQ28 11SG38 27CN11 
Tu 30 16:31:16 08GE53 21AR14 29GE43 05GE31 18GE08 23TA02 22TA53 20AQ49 06AQ27 11SG37 27CN07 
We 31 16:35:12 09GE51 05TA18 01CN14 06GE45 18GE49 23TA16 23TA01 20AQ49 06AQ27 11SG35 27CN04 
                                           JUNE 2000 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Th 01 16:39:09 10GE48 19TA47 02CN42 07GE58 19GE30 23TA30 23TA08 20AQ48 06AQ26 11SG34 27CN01 
Fr 02 16:43:05 11GE46 04GE36 04CN06 09GE12 20GE11 23TA44 23TA16 20AQ48 06AQ25 11SG32 26CN58 
Sa 03 16:47:02 12GE44 19GE38 05CN28 10GE26 20GE52 23TA58 23TA23 20AQ48 06AQ24 11SG30 26CN55 
Su 04 16:50:58 13GE41 04CN42 06CN46 11GE40 21GE33 24TA11 23TA31 20AQ47 06AQ24 11SG29 26CN51 
Mo 05 16:54:55 14GE38 19CN40 08CN01 12GE53 22GE13 24TA25 23TA38 20AQ47 06AQ23 11SG27 26CN48 
Tu 06 16:58:52 15GE36 04LE25 09CN13 14GE07 22GE54 24TA39 23TA46 20AQ46 06AQ22 11SG25 26CN45 
We 07 17:02:48 16GE33 18LE51 10CN22 15GE21 23GE35 24TA53 23TA53 20AQ45 06AQ21 11SG24 26CN42 
Th 08 17:06:45 17GE31 02VI55 11CN27 16GE35 24GE15 25TA06 24TA00 20AQ45 06AQ20 11SG22 26CN39 
Fr 09 17:10:41 18GE28 16VI38 12CN28 17GE48 24GE56 25TA20 24TA07 20AQ44 06AQ19 11SG21 26CN36 
Sa 10 17:14:38 19GE26 00LI00 13CN26 19GE02 25GE37 25TA34 24TA15 20AQ43 06AQ18 11SG19 26CN32 
Su 11 17:18:34 20GE23 13LI03 14CN21 20GE16 26GE17 25TA47 24TA22 20AQ43 06AQ17 11SG17 26CN29 
Mo 12 17:22:31 21GE20 25LI50 15CN11 21GE29 26GE57 26TA01 24TA29 20AQ42 06AQ16 11SG16 26CN26 
Tu 13 17:26:27 22GE18 08SC22 15CN58 22GE43 27GE38 26TA14 24TA36 20AQ41 06AQ15 11SG14 26CN23 
We 14 17:30:24 23GE15 20SC42 16CN41 23GE57 28GE18 26TA28 24TA43 20AQ40 06AQ14 11SG13 26CN20 
Th 15 17:34:21 24GE12 02SG52 17CN20 25GE10 28GE59 26TA41 24TA51 20AQ39 06AQ13 11SG11 26CN17 
Fr 16 17:38:17 25GE09 14SG54 17CN55 26GE24 29GE39 26TA54 24TA58 20AQ38 06AQ12 11SG10 26CN13 
Sa 17 17:42:14 26GE07 26SG48 18CN26 27GE38 00CN19 27TA08 25TA05 20AQ37 06AQ11 11SG08 26CN10 
Su 18 17:46:10 27GE04 08CP39 18CN52 28GE52 00CN60 27TA21 25TA12 20AQ36 06AQ10 11SG06 26CN07 
Mo 19 17:50:07 28GE01 20CP27 19CN14 00CN05 01CN40 27TA34 25TA19 20AQ35 06AQ08 11SG05 26CN04 
Tu 20 17:54:03 28GE58 02AQ14 19CN32 01CN19 02CN20 27TA47 25TA26 20AQ34 06AQ07 11SG03 26CN01 
We 21 17:57:60 29GE56 14AQ05 19CN45 02CN33 03CN00 28TA01 25TA32 20AQ33 06AQ06 11SG02 25CN57 
Th 22 18:01:56 00CN53 26AQ02 19CN53 03CN46 03CN40 28TA14 25TA39 20AQ31 06AQ05 11SG00 25CN54 
Fr 23 18:05:53 01CN50 08PI10 19CN57 05CN00 04CN20 28TA27 25TA46 20AQ30 06AQ04 10SG59 25CN51 
Sa 24 18:09:50 02CN47 20PI33 19CN57 06CN14 05CN00 28TA40 25TA53 20AQ29 06AQ02 10SG57 25CN48 
Su 25 18:13:46 03CN45 03AR14 19CN52 07CN28 05CN40 28TA52 25TA59 20AQ27 06AQ01 10SG56 25CN45 
Mo 26 18:17:43 04CN42 16AR19 19CN42 08CN41 06CN20 29TA05 26TA06 20AQ26 05AQ60 10SG54 25CN42 
Tu 27 18:21:39 05CN39 29AR49 19CN28 09CN55 07CN00 29TA18 26TA13 20AQ24 05AQ58 10SG53 25CN38 
We 28 18:25:36 06CN36 13TA46 19CN10 11CN09 07CN40 29TA31 26TA19 20AQ23 05AQ57 10SG52 25CN35 
Th 29 18:29:32 07CN34 28TA10 18CN48 12CN23 08CN20 29TA43 26TA26 20AQ21 05AQ56 10SG50 25CN32 
Fr 30 18:33:29 08CN31 12GE57 18CN23 13CN36 08CN60 29TA56 26TA32 20AQ20 05AQ54 10SG49 25CN29 
                                           JULY 2000
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Sa 01 18:37:25 09CN28 27GE60 17CN54 14CN50 09CN40 00GE09 26TA39 20AQ18 05AQ53 10SG47 25CN26 
Su 02 18:41:22 10CN25 13CN11 17CN23 16CN04 10CN19 00GE21 26TA45 20AQ17 05AQ51 10SG46 25CN23 
Mo 03 18:45:19 11CN22 28CN20 16CN49 17CN18 10CN59 00GE33 26TA51 20AQ15 05AQ50 10SG45 25CN19 
Tu 04 18:49:15 12CN20 13LE19 16CN14 18CN31 11CN39 00GE46 26TA57 20AQ13 05AQ49 10SG43 25CN16 
We 05 18:53:12 13CN17 27LE59 15CN37 19CN45 12CN18 00GE58 27TA04 20AQ12 05AQ47 10SG42 25CN13 
Th 06 18:57:08 14CN14 12VI17 14CN60 20CN59 12CN58 01GE10 27TA10 20AQ10 05AQ46 10SG41 25CN10 
Fr 07 19:01:05 15CN11 26VI09 14CN23 22CN13 13CN38 01GE22 27TA16 20AQ08 05AQ44 10SG39 25CN07 
Sa 08 19:05:01 16CN09 09LI36 13CN46 23CN26 14CN17 01GE34 27TA22 20AQ06 05AQ43 10SG38 25CN03 
Su 09 19:08:58 17CN06 22LI39 13CN11 24CN40 14CN57 01GE46 27TA28 20AQ04 05AQ41 10SG37 25CN00 
Mo 10 19:12:54 18CN03 05SC21 12CN38 25CN54 15CN36 01GE58 27TA33 20AQ02 05AQ40 10SG36 24CN57 
Tu 11 19:16:51 19CN00 17SC46 12CN07 27CN08 16CN16 02GE10 27TA39 20AQ01 05AQ38 10SG35 24CN54 
We 12 19:20:48 19CN57 29SC57 11CN40 28CN21 16CN55 02GE22 27TA45 19AQ59 05AQ37 10SG33 24CN51 
Th 13 19:24:44 20CN55 11SG57 11CN16 29CN35 17CN35 02GE33 27TA51 19AQ57 05AQ35 10SG32 24CN48 
Fr 14 19:28:41 21CN52 23SG51 10CN56 00LE49 18CN14 02GE45 27TA56 19AQ55 05AQ33 10SG31 24CN44 
Sa 15 19:32:37 22CN49 05CP40 10CN40 02LE03 18CN53 02GE56 28TA02 19AQ53 05AQ32 10SG30 24CN41 
Su 16 19:36:34 23CN46 17CP28 10CN30 03LE17 19CN33 03GE08 28TA07 19AQ51 05AQ30 10SG29 24CN38 
Mo 17 19:40:30 24CN43 29CP17 10CN24 04LE30 20CN12 03GE19 28TA13 19AQ48 05AQ29 10SG28 24CN35 
Tu 18 19:44:27 25CN41 11AQ09 10CN24 05LE44 20CN51 03GE30 28TA18 19AQ46 05AQ27 10SG27 24CN32 
We 19 19:48:23 26CN38 23AQ06 10CN29 06LE58 21CN30 03GE41 28TA23 19AQ44 05AQ25 10SG26 24CN29 
Th 20 19:52:20 27CN35 05PI11 10CN40 08LE12 22CN09 03GE52 28TA29 19AQ42 05AQ24 10SG25 24CN25 
Fr 21 19:56:17 28CN32 17PI26 10CN56 09LE25 22CN49 04GE03 28TA34 19AQ40 05AQ22 10SG24 24CN22 
Sa 22 20:00:13 29CN30 29PI55 11CN18 10LE39 23CN28 04GE14 28TA39 19AQ38 05AQ21 10SG23 24CN19 
Su 23 20:04:10 00LE27 12AR39 11CN46 11LE53 24CN07 04GE25 28TA44 19AQ36 05AQ19 10SG22 24CN16 
Mo 24 20:08:06 01LE24 25AR43 12CN20 13LE07 24CN46 04GE35 28TA49 19AQ33 05AQ17 10SG21 24CN13 
Tu 25 20:12:03 02LE21 09TA08 12CN60 14LE20 25CN25 04GE46 28TA54 19AQ31 05AQ16 10SG21 24CN09 
We 26 20:15:59 03LE19 22TA56 13CN45 15LE34 26CN04 04GE56 28TA58 19AQ29 05AQ14 10SG20 24CN06 
Th 27 20:19:56 04LE16 07GE07 14CN36 16LE48 26CN43 05GE07 29TA03 19AQ27 05AQ13 10SG19 24CN03 
Fr 28 20:23:52 05LE14 21GE40 15CN32 18LE02 27CN22 05GE17 29TA08 19AQ24 05AQ11 10SG18 23CN60 
Sa 29 20:27:49 06LE11 06CN31 16CN34 19LE16 28CN01 05GE27 29TA12 19AQ22 05AQ09 10SG17 23CN57 
Su 30 20:31:46 07LE08 21CN34 17CN41 20LE29 28CN40 05GE37 29TA16 19AQ20 05AQ08 10SG17 23CN54 
Mo 31 20:35:42 08LE06 06LE40 18CN54 21LE43 29CN19 05GE47 29TA21 19AQ17 05AQ06 10SG16 23CN50 
                                         AUGUST 2000
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Tu 01 20:39:39 09LE03 21LE40 20CN12 22LE57 29CN58 05GE57 29TA25 19AQ15 05AQ04 10SG15 23CN47 
We 02 20:43:35 10LE01 06VI27 21CN34 24LE11 00LE37 06GE06 29TA29 19AQ13 05AQ03 10SG15 23CN44 
Th 03 20:47:32 10LE58 20VI53 23CN02 25LE25 01LE15 06GE16 29TA33 19AQ10 05AQ01 10SG14 23CN41 
Fr 04 20:51:28 11LE55 04LI53 24CN34 26LE38 01LE54 06GE25 29TA37 19AQ08 04AQ60 10SG14 23CN38 
Sa 05 20:55:25 12LE53 18LI27 26CN10 27LE52 02LE33 06GE35 29TA41 19AQ06 04AQ58 10SG13 23CN34 
Su 06 20:59:21 13LE50 01SC34 27CN51 29LE06 03LE12 06GE44 29TA45 19AQ03 04AQ56 10SG13 23CN31 
Mo 07 21:03:18 14LE48 14SC18 29CN35 00VI20 03LE51 06GE53 29TA49 19AQ01 04AQ55 10SG12 23CN28 
Tu 08 21:07:15 15LE45 26SC41 01LE22 01VI34 04LE29 07GE02 29TA53 18AQ58 04AQ53 10SG12 23CN25 
We 09 21:11:11 16LE43 08SG49 03LE13 02VI47 05LE08 07GE11 29TA56 18AQ56 04AQ52 10SG11 23CN22 
Th 10 21:15:08 17LE40 20SG45 05LE06 04VI01 05LE47 07GE19 29TA60 18AQ54 04AQ50 10SG11 23CN19 
Fr 11 21:19:04 18LE38 02CP35 07LE02 05VI15 06LE25 07GE28 00GE03 18AQ51 04AQ48 10SG11 23CN15 
Sa 12 21:23:01 19LE36 14CP23 08LE60 06VI29 07LE04 07GE36 00GE06 18AQ49 04AQ47 10SG10 23CN12 
Su 13 21:26:57 20LE33 26CP11 10LE59 07VI42 07LE42 07GE45 00GE10 18AQ46 04AQ45 10SG10 23CN09 
Mo 14 21:30:54 21LE31 08AQ04 12LE59 08VI56 08LE21 07GE53 00GE13 18AQ44 04AQ44 10SG10 23CN06 
Tu 15 21:34:50 22LE28 20AQ03 15LE01 10VI10 08LE59 08GE01 00GE16 18AQ42 04AQ42 10SG10 23CN03 
We 16 21:38:47 23LE26 02PI11 17LE02 11VI24 09LE38 08GE09 00GE19 18AQ39 04AQ41 10SG09 22CN60 
Th 17 21:42:44 24LE24 14PI29 19LE04 12VI37 10LE16 08GE17 00GE21 18AQ37 04AQ39 10SG09 22CN56 
Fr 18 21:46:40 25LE21 26PI59 21LE06 13VI51 10LE55 08GE24 00GE24 18AQ35 04AQ38 10SG09 22CN53 
